Protein_A_idx	Protein_B_idx	Interaction	Uniprot_A	Uniprot_B
563	24	0.199	P27692	Q03195
563	1684	0.856	P27692	P22138
563	2242	0.056	P27692	P39517
563	4239	0.199	P27692	P53063
563	3310	0.199	P27692	P47047
563	1354	0.199	P27692	P15646
563	922	0.276	P27692	P41895
563	3053	0.448	P27692	Q06697
563	2671	0.992	P27692	P20434
563	1831	0.995	P27692	P27999
563	2518	0.199	P27692	P38845
563	3188	0.996	P27692	P04050
563	3029	0.109	P27692	Q03330
563	4572	0.56	P27692	P32485
563	3069	0.199	P27692	P35178
563	2003	0.199	P27692	P43603
563	932	0.199	P27692	Q99207
563	1148	0.206	P27692	P38011
563	4467	0.199	P27692	P20448
563	2434	0.115	P27692	Q12306
563	653	0.29	P27692	P07278
563	2605	0.654	P27692	Q03761
563	2708	0.199	P27692	P35189
563	634	0.722	P27692	P19454
563	1078	0.232	P27692	P39940
563	3676	0.196	P27692	P50102
563	2788	0.117	P27692	P53849
563	4868	0.199	P27692	Q08649
563	1395	0.199	P27692	Q12159
563	1575	0.199	P27692	P53741
563	679	0.7909999999999999	P27692	P89105
563	886	0.995	P27692	P08518
563	3971	0.199	P27692	P38883
563	4082	0.32	P27692	P33201
563	2673	0.993	P27692	P20436
563	4090	0.991	P27692	P16370
563	3286	0.275	P27692	P36146
563	4780	0.25	P27692	P38989
563	4364	0.199	P27692	P40991
563	3383	0.199	P27692	Q06685
563	3418	0.234	P27692	Q03280
563	300	0.8079999999999999	P27692	P40164
563	29	0.742	P27692	P38193
563	5118	0.741	P27692	P23293
563	3189	0.585	P27692	Q01080
563	2966	0.305	P27692	P34223
563	2399	0.081	P27692	P30822
563	1162	0.207	P27692	Q03898
563	4268	0.498	P27692	Q99383
563	3537	0.199	P27692	P53261
563	1931	0.654	P27692	P47122
563	771	0.199	P27692	Q03088
563	4080	0.358	P27692	P33203
563	1105	0.119	P27692	P38129
563	2391	0.28	P27692	P43639
563	1134	0.583	P27692	P40457
563	1674	0.199	P27692	Q02892
563	3439	0.199	P27692	P53136
563	2410	0.264	P27692	P04147
563	4652	0.297	P27692	Q04636
563	3511	0.199	P27692	P53914
563	4864	0.7440000000000001	P27692	P07703
563	3600	0.297	P27692	P47037
563	1630	0.657	P27692	P46995
563	2443	0.199	P27692	P53235
563	1375	0.199	P27692	P21951
563	648	0.8640000000000001	P27692	P07273
563	925	0.56	P27692	P53617
563	2793	0.297	P27692	Q01477
563	3277	0.831	P27692	P23615
563	543	0.284	P27692	P53738
563	430	0.117	P27692	P30771
563	2944	0.199	P27692	P33322
563	4292	0.199	P27692	P50094
563	4047	0.28600000000000003	P27692	P25558
563	838	0.29	P27692	P32447
563	4419	0.29100000000000004	P27692	Q06834
563	69	0.994	P27692	P40422
563	4056	0.115	P27692	P36012
563	3896	0.565	P27692	P06244
563	2594	0.6759999999999999	P27692	P38930
563	457	0.199	P27692	P29055
563	4000	0.86	P27692	P38439
563	4124	0.565	P27692	P38431
563	2546	0.994	P27692	P38902
563	3504	0.317	P27692	P53040
563	4685	0.199	P27692	Q12389
563	1594	0.643	P27692	P32558
563	3933	0.199	P27692	P41819
563	4189	0.199	P27692	Q04373
563	2714	0.297	P27692	P07560
563	4771	0.199	P27692	P38630
563	2037	0.199	P27692	O13297
563	2935	0.297	P27692	P11633
563	4872	0.33	P27692	Q00416
